commit	profile	wall_time_s	train_total_time_s	startup_overhead_s	train_iter_time_s	train_rays_per_sec	train_batch_load_s	train_feature_cache_load_s	train_feature_gather_s	train_feature_populate_s	train_model_forward_s	train_metrics_loss_s	train_image_viz_s	eval_batch_load_s	eval_feature_cache_load_s	eval_feature_gather_s	eval_feature_populate_s	eval_image_s	eval_all_images_s	peak_gpu_mem_mb	pixel_visit_x	pixel_visit_x_pct_diff	window_coverage_w	window_coverage_w_pct_diff	train_psnr	train_feature_error	train_foreground_acc	eval_all_psnr	eval_all_ssim	eval_all_lpips	max_quality_regression_pct	status	description	summary_path
10d0b4f	measure	204.53	189.63	14.90	0.02	437020.19	0.01	0.00	0.00	0.00	0.01	0.00		0.02	0.01	0.00	0.01	1.16	4.47	7758.02	0.15	0.15	2.38	0.00	31.42	0.08	0.97	24.77	0.92	0.27	2.29	keep	reduce proposal samples on 9984 schedule	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260316_232955_measure_10d0b4f/summary.json
f79c834	measure	198.45	183.79	14.67	0.02	460343.97	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.10	4.14	7755.89	0.15	0.15	2.38	0.00	31.21	0.08	0.97	25.17	0.92	0.27	4.77	keep	reduce nerf samples on best 9984 schedule	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260316_233345_measure_f79c834/summary.json
2d5b1f7	measure	189.78	175.10	14.68	0.02	488524.19	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.10	4.18	7733.95	0.15	0.15	2.38	0.00	31.42	0.08	0.97	24.89	0.92	0.27	4.91	keep	reduce feature supervision ratio	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260316_234623_measure_2d5b1f7/summary.json
17d57c7	measure	188.44	173.05	15.39	0.02	506038.00	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.11	4.14	7733.95	0.15	0.15	2.38	0.00	31.35	0.08	0.95	25.10	0.92	0.27	4.95	keep	reduce foreground supervision ratio	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260316_235004_measure_17d57c7/summary.json
c329b7e	measure	185.10	170.44	14.65	0.02	474071.69	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.10	4.11	7722.98	0.15	0.15	2.38	0.00	31.34	0.08	0.96	25.17	0.92	0.27	5.91	keep	reduce auxiliary supervision ratios further	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260316_235345_measure_c329b7e/summary.json
1565d30	measure	182.38	167.53	14.85	0.02	511238.53	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.08	4.14	7723.58	0.15	0.00	2.38	0.00	31.59	0.09	0.96	24.95	0.92	0.27	9.82	keep	try 10240 schedule on lighter supervision	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260316_235736_measure_1565d30/summary.json
fe67dd2	measure	178.80	163.21	15.59	0.02	541014.69	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.11	4.13	17240.02	0.15	0.07	2.38	0.00	31.28	0.08	0.95	24.98	0.92	0.28	6.83	keep	try 10752 schedule on lighter supervision	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_000130_measure_fe67dd2/summary.json
0b1bfa3	measure	171.06	156.14	14.91	0.02	560187.31	0.01	0.00	0.00	0.00	0.01	0.00		0.02	0.01	0.00	0.01	1.09	4.19	7726.59	0.15	0.00	2.38	0.00	31.48	0.08	0.97	24.79	0.91	0.28	6.62	keep	try 11520 schedule on lighter supervision	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_000519_measure_0b1bfa3/summary.json
6010161	measure	168.17	153.10	15.08	0.02	559101.38	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.13	4.14	7726.59	0.15	0.00	2.38	0.00	31.45	0.08	0.97	24.95	0.91	0.28	6.55	keep	reuse matched auxiliary ray forwards	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_000948_measure_6010161/summary.json
813a751	measure	164.90	150.91	13.98	0.02	572707.12	0.01	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.15	4.15	7629.73	0.15	0.00	2.38	0.00	31.52	0.09	0.97	24.90	0.91	0.28	10.27	keep	share auxiliary encodings	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_001822_measure_813a751/summary.json
