commit	profile	wall_time_s	train_total_time_s	startup_overhead_s	train_iter_time_s	train_rays_per_sec	train_batch_load_s	train_feature_cache_load_s	train_feature_gather_s	train_feature_populate_s	train_model_forward_s	train_metrics_loss_s	train_image_viz_s	eval_batch_load_s	eval_feature_cache_load_s	eval_feature_gather_s	eval_feature_populate_s	eval_image_s	eval_all_images_s	peak_gpu_mem_mb	pixel_visit_x	pixel_visit_x_pct_diff	window_coverage_w	window_coverage_w_pct_diff	train_psnr	train_feature_error	train_foreground_acc	eval_all_psnr	eval_all_ssim	eval_all_lpips	max_quality_regression_pct	status	description	summary_path
3702a8e	measure	100.94	87.13	13.82	0.01	1072586.62	0.00	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.13	4.02	7456.08	0.15	0.00	2.38	0.00	30.81	0.09	0.97	25.05	0.91	0.28	10.39	discard	disable local writer on 50-step logging	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_080007_measure_3702a8e/summary.json
a78cd19	measure	100.25	86.03	14.22	0.01	1063944.25	0.00	0.00	0.00	0.00	0.00	0.00		0.01	0.01	0.00	0.01	1.11	4.03	7456.08	0.15	0.00	2.38	0.00	30.94	0.08	0.97	25.40	0.91	0.28	7.93	keep	disable basic profiler on 50-step logging	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_080226_measure_a78cd19/summary.json
db7498f	measure	7.51																			0.15	0.00	2.38	0.00								crash	disable local writer on profiler-free logging	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_080436_measure_db7498f/summary.json
d5a165f	measure	100.24	86.48	13.76	0.01	1065159.50	0.00	0.00	0.00	0.00	0.00	0.00		0.02	0.01	0.00	0.01	1.10	4.05	7456.08	0.15	0.00	2.38	0.00	30.63	0.09	0.97	25.18	0.91	0.28	10.46	discard	disable local writer on profiler-free logging	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_080504_measure_d5a165f/summary.json
10c7488	measure	98.26	84.13	14.13	0.01	1075378.88	0.00	0.00	0.00	0.00	0.00	0.00							4.83	6805.05	0.15	0.00	2.38	0.00	30.81	0.09	0.96	25.39	0.91	0.28	4.27	keep	keep only final eval passes	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_081733_measure_10c7488/summary.json
80129f5	measure	95.11	80.96	14.15	0.01	1073706.75	0.00	0.00	0.00	0.00	0.00	0.00							4.81	6805.05	0.15	0.00	2.38	0.00	30.76	0.09	0.96	25.35	0.91	0.28	2.47	keep	disable periodic checkpoint saves	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_081936_measure_80129f5/summary.json
bf18246	measure	94.64	80.47	14.17	0.01	1083421.12	0.00	0.00	0.00	0.00	0.00	0.00							4.89	6805.05	0.15	0.00	2.38	0.00	30.88	0.09	0.96	25.39	0.91	0.28	2.86	keep	reduce logging cadence to 100 steps	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_082137_measure_bf18246/summary.json
1bda3fa	measure	93.31	79.69	13.62	0.01	1086057.88	0.00	0.00	0.00	0.00	0.00	0.00							4.81	6805.05	0.15	0.00	2.38	0.00	30.84	0.09	0.96	25.32	0.91	0.28	4.02	keep	reduce logging cadence to 200 steps	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_082333_measure_1bda3fa/summary.json
6d9e8d1	measure	93.80	79.84	13.96	0.01	1077244.75	0.00	0.00	0.00	0.00	0.00	0.00							4.76	6805.05	0.15	0.00	2.38	0.00	30.80	0.09	0.96	25.24	0.91	0.28	3.40	discard	reduce logging cadence to 500 steps	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_082543_measure_6d9e8d1/summary.json
44668c3	measure	92.57	78.72	13.85	0.01	1096914.62	0.00	0.00	0.00	0.00	0.00	0.00							4.79	6805.05	0.15	0.00	2.38	0.00	30.72	0.08	0.97	25.00	0.91	0.28	1.57	keep	disable local writer on 200-step logging	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_082804_measure_44668c3/summary.json
8aa8be8	measure	93.86	79.88	13.98	0.01	1075195.88	0.00	0.00	0.00	0.00	0.00	0.00							4.84		0.15	0.00	2.38	0.00	30.73	0.08	0.97	24.95	0.91	0.28	1.77	discard	disable periodic training logs	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_083018_measure_8aa8be8/summary.json
8a7ae8c	measure	92.88	78.95	13.94	0.01	1109169.25	0.00	0.00	0.00	0.00	0.00	0.00							4.80	6805.05	0.15	0.00	2.38	0.00	30.67	0.08	0.97	25.20	0.91	0.28	1.46	discard	remove per-step current-step writer	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_083233_measure_8a7ae8c/summary.json
c207f89	measure	92.34	78.56	13.77	0.01	1110861.00	0.00	0.00	0.00	0.00	0.00	0.00							4.77	6805.05	0.15	0.00	2.38	0.00	30.72	0.08	0.97	24.96	0.91	0.28	1.77	keep	detach cached latest metrics	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_083507_measure_c207f89/summary.json
fc8e168	measure	92.48	78.76	13.72	0.01	1077455.75	0.00	0.00	0.00	0.00	0.00	0.00							4.83		0.15	0.00	2.38	0.00	30.72	0.08	0.97	24.98	0.91	0.28	1.96	discard	disable periodic logs on detached-metric base	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_083717_measure_fc8e168/summary.json
48f034b	measure	92.67	78.70	13.97	0.01	1102160.62	0.00	0.00	0.00	0.00	0.00	0.00							4.85	6805.44	0.15	-0.19	2.38	0.00	30.61	0.08	0.96	25.24	0.91	0.28	1.67	discard	squeeze gpu with 14080-ray schedule	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_091959_measure_48f034b/summary.json
58f4940	measure	92.15	78.26	13.89	0.01	1098459.88	0.00	0.00	0.00	0.00	0.00	0.00							4.81	6805.05	0.15	0.00	2.38	0.00	30.77	0.08	0.97	24.99	0.91	0.28	1.63	keep	keep a small feature cache on gpu	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_092206_measure_58f4940/summary.json
4a5fdf3	measure	93.54	79.79	13.76	0.01	1102625.12	0.00	0.00	0.00	0.00	0.00	0.00							4.79	6805.05	0.15	0.00	2.38	0.00	30.65	0.08	0.97	25.31	0.91	0.28	0.96	discard	keep a larger feature cache on gpu	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_092405_measure_4a5fdf3/summary.json
71ceab1	measure	91.26	77.33	13.94	0.01	1114594.50	0.00	0.00	0.00	0.00	0.00	0.00							4.79	6806.23	0.15	0.01	2.38	0.00	30.86	0.09	0.96	25.20	0.91	0.28	2.70	keep	squeeze gpu with 14592-ray schedule	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_092617_measure_71ceab1/summary.json
bb940f3	measure	90.02	76.18	13.83	0.01	1166912.25	0.00	0.00	0.00	0.00	0.00	0.00							4.84	6806.62	0.15	0.00	2.38	0.00	31.11	0.09	0.97	25.12	0.91	0.28	6.52	keep	squeeze gpu with 14848-ray schedule	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_093339_measure_bb940f3/summary.json
b5b914d	measure	89.57	75.83	13.75	0.01	1147897.38	0.00	0.00	0.00	0.00	0.00	0.00							4.76	6807.01	0.15	-0.01	2.38	0.00	30.96	0.08	0.97	25.09	0.91	0.28	7.11	keep	squeeze gpu with 15104-ray schedule	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_093547_measure_b5b914d/summary.json
d17eb74	measure	89.74	75.73	14.01	0.01	1179917.00	0.00	0.00	0.00	0.00	0.00	0.00							4.81	6807.40	0.15	0.00	2.38	0.00	30.74	0.09	0.97	25.12	0.91	0.28	8.99	discard	squeeze gpu with 15360-ray schedule	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_093804_measure_d17eb74/summary.json
b32852c	measure	97.91	83.41	14.50	0.01	1158951.62	0.00	0.00	0.00	0.00	0.00	0.00							4.82	6807.01	0.15	-0.01	2.38	0.00	30.84	0.08	0.97	25.12	0.91	0.28	6.84	discard	pin cpu feature cache on 15104 schedule	/robodata/smodak/repos/f3rm/benchmark_runs/measure/20260317_093959_measure_b32852c/summary.json
